"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"39","A327","Parus cristatus","Deletion","Lophophanes cristatus","A497","Addition"
"40","A328","Parus ater","Deletion","Periparus ater","A473","Addition"
"41","A329","Parus caeruleus","Deletion","Cyanistes teneriffae","A484","Addition"
"42","A329","Parus caeruleus","Deletion","Cyanistes caeruleus s. str","not found in Natura2000 List","not available"
"43","A353","Sturnus roseus","Deletion","Pastor roseus","A494","Addition"
"44","A365","Carduelis spinus","Deletion","Spinus spinus","A478","Addition"
"45","A366","Carduelis cannabina","Deletion","Linaria cannabina","A476","Addition"
"46","A367","Carduelis flavirostris","Deletion","Linaria flavirostris","A477","Addition"
"47","A368","Carduelis flammea","Deletion","Carduelis flammea flammea","not found in Natura2000 List","not available"
"48","A368","Carduelis flammea","Deletion","Acanthis flammea","A474","Addition"
"49","A384","Puffinus puffinus mauretanicus","Deletion","Puffinus mauretanicus","A693","Addition"
"50","A390","Oceanodroma castro","Deletion","Hydrobates castro","A874","Addition"
"51","A393","Phalacrocorax pygmeus","Deletion","Microcarbo pygmaeus","A875","Addition"
"52","A407","Lagopus mutus pyrenaicus","Deletion","Lagopus muta pyrenaica","A712","Addition"
"53","A408","Lagopus mutus helveticus","Deletion","Lagopus muta helvetica","A713","Addition"
"54","A409","Tetrao tetrix tetrix","Deletion","Lyrurus tetrix tetrix","A876","Addition"
"55","A410","Tetrao tetrix britannicus","Deletion","Lyrurus tetrix britannicus","A877","Addition"
"56","A418","Hoplopterus spinosus","Deletion","Vanellus spinosus","A728","Addition"
"57","A431","Calandrella rufescens","Deletion","Alaudala rufescens","A475","Addition"
"58","A443","Parus lugubris","Deletion","Poecile lugubris","A491","Addition"
"59","A454","Cyanopica cyanus","Deletion","Cyanopica cyana","not found in Natura2000 List","not available"
"60","A454","Cyanopica cyanus","Deletion","Cyanopica cooki","A481","Addition"
"61","A462","Lagopus lagopus scoticus","Deletion","Lagopus lagopus scotica","A711","Addition"
"62","A470","Parus ater cypriotes","Deletion","Periparus ater cypriotes","A471","Addition"
"63","A503","Procellaria diomedea","Deletion","Calonectris diomedea","A850","Addition"
"64","A510","Aquila rapax","Deletion","Aquila rapax rapax","not found in Natura2000 List","not available"
"65","A518","Tringa cinerea","Deletion","Xenus cinereus","A167","Remains"
"66","A524","Melanocorypha leucoptera","Deletion","Alauda leucoptera","not found in Natura2000 List","not available"
"67","A526","Anthus novaeseelandiae","Deletion","Anthus richardi","not found in Natura2000 List","not available"
"68","A527","Motacilla finere","Deletion","Motacilla cinerea","A261","Remains"
"69","A535","Regulus teneriffae","Deletion","Regulus regulus teneriffae","not found in Natura2000 List","not available"
"70","A537","Parus cinctus","Deletion","Poecile cinctus","A490","Addition"
"71","A538","Parus cyanus","Deletion","Cyanistes cyanus","not found in Natura2000 List","not available"
"72","A543","Carduelis hornemanni","Deletion","Carduelis flammea hornemanni","not found in Natura2000 List","not available"
"73","A546","Rhodopechys githaginea","Deletion","Bucanetes githagineus","A452","Remains"
"74","A549","Podiceps caspicus","Deletion","Podiceps nigricollis","A008","Remains"
"75","A552","Butorides virescens","Deletion","Ardea virescens","not found in Natura2000 List","not available"
"76","A552","Butorides virescens","Deletion","Butorides striatus","not found in Natura2000 List","not available"
"77","A554","Alopochen aegyptiacus","Deletion","Alopochen aegyptiaca","not found in Natura2000 List","not available"
"78","A564","Sterna fuscata","Deletion","Onychoprion fuscatus","A882","Addition"
"79","A567","Phoenicurus torquata","Deletion","Saxicola torquata","not found in Natura2000 List","not available"
"80","A567","Phoenicurus torquata","Deletion","Saxicola torquatus","A276","Remains"
"81","A602","Sterna bengalensis","Deletion","Thalasseus bengalensis","A883","Addition"
"82","A606","Chettusia gregaria","Deletion","Vanellus gregarius","not found in Natura2000 List","not available"
"83","A624","Chettusia leucura","Deletion","Vanellus leucurus","not found in Natura2000 List","not available"
"84","A626","Lagopus mutus mutus","Deletion","Lagopus muta muta","not found in Natura2000 List","not available"
"85","A628","Lagopus mutus millaisi","Deletion","Lagopus muta millaisi","not found in Natura2000 List","not available"
"86","A630","Oceanodroma monteiroi","Deletion","Hydrobates monteiroi","A884","Addition"
"87","A636","Fringilla teydea teydea","Deletion","Fringilla teydea s. str","not found in Natura2000 List","not available"
"88","A643","Fringilla teydea polatzeki","Deletion","Fringilla polatzeki","A485","Addition"
"89","A655","Lanius excubitor meridionalis","Deletion","Lanius meridionalis","A496","Addition"
"90","A656","Parus ater","Deletion","Periparus ater all others","not found in Natura2000 List","not available"
"91","A681","Carduelis cabaret","Deletion","Carduelis flammea cabaret","not found in Natura2000 List","not available"
"92","6088","Ablepharus kitaibelii fitzingeri","Deletion","Ablepharus kitaibelii","1276","Remains"
