"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"732","5681","Lampanyctus crocodilus","Deletion","Lampanyctus crocodilus (Risso, 1810)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"733","6152","Lampetra zanandreai","Deletion","Lethenteron zanandreai (Vladykov, 1955)","Synonym","Lethenteron zanandreai","Vladykov, 1955","1097","Lethenteron zanandreai","Remains","Synonym - Remains","SPECIES:Lethenteron zanandreai (Vladykov, 1955)|GENUS:Lethenteron|FAMILY:Petromyzontidae|ORDER:Petromyzontiformes|CLASS:Petromyzonti|INFRAPHYLUM:Agnatha|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"734","6053","Leiciscus delineatus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"735","5683","Lemniscomys barbarus","Deletion","Lemniscomys barbarus (Linnaeus, 1767)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"736","1759","Leontodon microcephalus","Deletion","Scorzoneroides microcephala (Boiss. ex DC.) Holub","Synonym","Scorzoneroides microcephala","(Boiss. ex DC.) Boiss.","7019","Scorzoneroides microcephala","Addition","Synonym - Addition","SPECIES:Scorzoneroides microcephala (Boiss. ex DC.) Holub|GENUS:Scorzoneroides Moench|SUBFAMILY:Cichorioideae (Juss.) Chev.|FAMILY:Asteraceae Dumort.|ORDER:Asterales|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"737","5684","Lepidion eques","Deletion","Lepidion eques (Günther, 1887)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"738","5685","Lepidion schmidti","Deletion","Lepidion schmidti Svetovidov, 1936","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"739","5686","Lepidorhombus boscii","Deletion","Lepidorhombus boscii (Risso, 1810)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"740","5246","Lepidotis inundata","Deletion","Lycopodiella inundata (L.) Holub","Synonym","Lycopodiella inundata","(L.) Börner","5191","Lycopodiella inundata","Remains","Synonym - Remains","SPECIES:Lycopodiella inundata (L.) Holub|GENUS:Lycopodiella Holub|SUBFAMILY:Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"741","5687","Lepomis gibbosus","Deletion","Lepomis gibbosus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"742","2605","Lepus capensis","Deletion","Lepus capensis Linnaeus, 1758","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"743","6130","Lepus capensis cyprius","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"744","6129","Lepus capensis mediterraneus","Deletion","Lepus capensis mediterraneus Wagner, 1841","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"745","5688","Lepus castroviejoi","Deletion","Lepus castroviejoi Palacios, 1977","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"746","5689","Lepus corsicanus","Deletion","Lepus corsicanus de Winton, 1898","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"747","5690","Lepus europaeus","Deletion","Lepus europaeus Pallas, 1778","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"748","5691","Lepus granatensis","Deletion","Lepus granatensis Rosenhauer, 1856","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"749","5692","Lepus timidus hibernicus","Deletion","Lepus timidus hibernicus Bell, 1837","Accepted","Lepus timidus","Bell, 1837","1334","Lepus timidus hibernicus","Remains","Accepted - Remains","SPECIES:Lepus timidus Linnaeus, 1758|GENUS:Lepus Linnaeus, 1758|FAMILY:Leporidae Fischer, 1817|ORDER:Lagomorpha Brandt, 1855|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"750","5693","Lepus timidus hibrenicus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"751","5694","Lepus timidus varronis","Deletion","Lepus timidus varronis Miller, 1901","Accepted","Lepus timidus","Miller, 1901","1334","Lepus timidus varronis","Remains","Accepted - Remains","SPECIES:Lepus timidus Linnaeus, 1758|GENUS:Lepus Linnaeus, 1758|FAMILY:Leporidae Fischer, 1817|ORDER:Lagomorpha Brandt, 1855|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"752","5695","Lesueurigobius friesii","Deletion","Lesueurigobius friesii (Malm, 1874)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
